airport,airport_iata,country,city,rental_length,start_date,start_time,return_date,return_time,date_offset,deposit_price,drive_away_price,price,currency,product_name,product_id,airbags,aircon,free_cancellation,doors,group,seats,fuel_type,transmission,mileage,supplier_name,supplier_address,supplier_loction_type,average,average_text,cleanliness,condition,dropoff_time,efficiency,location,pickup_time,value_for_money,no_of_ratings,RunDate,setup_prams,tid
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,151.68,151.68,151.68,GBP,Nissan Qashqai   ,712385081,1,1,1,4,Intermediate,5,N/A,Manual,Unlimited mileage,Alamo,"Northern Perimeter Road, Hounslow, London, UK, TW6 2RY",Shuttle Bus,8.10,Excellent,8.40,8.20,9.10,8.20,8.10,7.70,7.40,2627,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269279
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,118.30,118.30,118.30,GBP,Polestar 2,740439691,1,1,1,5,Premium,5,N/A,Automatic,600 miles per rental,Hertz,"Northern Perimeter Road, Hounslow, London, UK, TW6 2QD",Shuttle Bus,7.80,Very good,8.80,8.70,8.80,7.60,8.00,6.00,7.40,3146,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269280
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,117.35,139.65,117.35,GBP,Vauxhall Crossland X,738651026,1,1,1,4,Compact,5,N/A,Manual,Unlimited mileage,Europcar,"Northern Perimeter Road West, Hounslow, London, UK, TW6 2QE",Shuttle Bus,8.50,Excellent,8.90,8.70,9.60,8.80,8.90,7.50,7.30,5966,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269281
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,131.98,131.98,131.98,GBP,Peugeot 2008,739391166,1,1,1,4,Compact,5,N/A,Manual,Unlimited mileage,Avis,"London Heathrow Airport T2-3-4, Northrop Road, London, UK, TW6 2QA",Shuttle Bus,8.10,Excellent,8.60,8.10,9.20,8.40,8.10,7.20,7.30,1533,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269282
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,131.98,131.98,131.98,GBP,Vauxhall Crossland X,672007301,1,1,1,4,Compact,5,N/A,Manual,Unlimited mileage,Avis,"London Heathrow Airport T2-3-4, Northrop Road, London, UK, TW6 2QA",Shuttle Bus,8.10,Excellent,8.60,8.10,9.20,8.40,8.10,7.20,7.30,1533,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269283
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,131.98,131.98,131.98,GBP,Peugeot 2008,673966761,1,1,1,4,Compact,5,N/A,Manual,Unlimited mileage,Budget,"London Heathrow Airport T2-3-4, Northrop Road, London, UK, TW6 2QA",Shuttle Bus,8.10,Excellent,8.50,7.90,9.30,8.30,8.30,7.40,7.30,2757,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269284
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,87.50,87.50,87.50,GBP,Ford Fiesta,728723201,1,1,1,4,Economy,5,N/A,Manual,200 miles per rental,Surprice,"Heathrow Airport, 450 Bath Road, London, UK, UB7 0EB",Meet & Greet,5.60,,7.00,7.00,5.50,6.30,4.50,4.00,6.10,210,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269285
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,102.91,102.91,102.91,GBP,Vauxhall Corsa,537142658,1,1,1,2,Economy,4,N/A,Manual,Unlimited mileage,Hertz,"Northern Perimeter Road, Hounslow, London, UK, TW6 2QD",Shuttle Bus,7.80,Very good,8.80,8.70,8.80,7.60,8.00,6.00,7.40,3146,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269286
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,117.01,117.01,117.01,GBP,Ford Focus,712319871,1,1,1,4,Compact,5,N/A,Manual,Unlimited mileage,Alamo,"Northern Perimeter Road, Hounslow, London, UK, TW6 2RY",Shuttle Bus,8.10,Excellent,8.40,8.20,9.10,8.20,8.10,7.70,7.40,2627,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269287
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,115.16,115.16,115.16,GBP,Vauxhall Crossland X,738750416,1,1,1,4,Compact,5,N/A,Manual,400 miles per rental,Keddy By Europcar,"Northern Perimeter Road West, Hounslow, London, UK, TW6 2QE",Shuttle Bus,8.40,Excellent,8.80,8.30,9.60,8.80,8.50,7.60,7.80,2071,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269288
